id|Question|Answer_1
1221|Mình bị tuyến giáp, hiện tại bình giáp, đang uống thuốc ổn định 4 năm có nên chích ngừa vaccine Covid-19 không ạ?| Chào bạn! Hiện tại tình trạng tuyến giáp của bạn được bác sĩ chẩn đoán là bình giáp, đang uống thuốc ổn định 4 năm.Theo hướng dẫn của Bộ Y tế bạn vẫn có thể tiêm ngừa vaccine Covid-19. Khi khám sàng lọc bạn phải cung cấp đầy đủ các giấy tờ liên quan đến lý theo dõi điều trị. Bác sĩ sẽ đánh giá tình trạng sức khỏe hiện tại của bạn và các chỉ số huyết áp, nhịp tim, mạch, nhịp thở... ổn định sẽ được chỉ định tiêm. Cảm ơn câu hỏi của bạn. Chúc bạn sức khỏe!
3189|Vợ tôi đang cho con 7 tháng tuổi bú thì có tiêm được vaccine Covid-19 không? Cảm ơn các chuyên gia!|" Chào chị,
Theo hướng dẫn của Bộ Y tế, phụ nữ đang cho con bú sẽ hoãn tiêm chủng vaccine Covid-19 trong thời gian này, chờ những hướng dẫn tiếp theo. Nếu có thêm bất kỳ thắc mắc nào chị có thể gửi câu hỏi về cho chương trình. Cảm ơn chị."
3185|Tôi đang cho con bú (10 tháng tuổi) có được chủng ngừa vaccine Covid-19 không? Trẻ nhỏ bao nhiêu tháng tuổi mới chủng ngừa được vaccine Covid-19 ạ? Xin cảm ơn!|" Chào chị,
Theo hướng dẫn của Bộ Y tế, phụ nữ đang cho con bú sẽ hoãn tiêm vaccine Covid-19 trong thời gian này. Hiện nay, mỗi loại vaccine sẽ chỉ định ở những đối tượng khác nhau như vaccine Covid-19 của AstraZeneca chỉ định tiêm chủng cho người từ 18 tuổi trở lên, vaccine của Pfizer/BioNTech chỉ định cho trẻ từ 12 tuổi trở lên, chưa có vắc xin nào chỉ định cho trẻ nhỏ dưới 12 tuổi. Cảm ơn câu hỏi của chị.
Cảm ơn chị."
1708|Thưa bác sĩ, tôi và gia đình muốn tiêm mũi vaccine Covid-19 Pfizer hoặc Moderna thì đăng ký tiêm ở đâu và mất bao nhiều tiền? Trẻ em 9 tháng tuổi và trên 6 tuổi và bà mẹ đang cho con bú có tiêm được vaccine Covid-19 không? Xin cảm ơn!| Chào bạn, Theo bạn chia sẻ, chị của bạn có bị dị ứng kháng sinh, chúng tôi không biết mức độ dị ứng có phải nhập viện cấp cứu hay chỉ bị nổi mẩn trên da rồi tự hết. Có 2 trường hợp để bạn biết mình có thể tiêm được vaccine Covid-19 hay không gồm: - Nếu trường hợp bạn dị ứng kháng sinh mà có khó thở, có tím tái phải nhập viện thì trường hợp này chống chỉ định tiêm vaccine Covid-19 theo hướng dẫn của Bộ Y tế. - Nếu bạn chỉ bị nổi mẩn đỏ ít trên da, không cần điều trị, tự hết thì vẫn có thể tiêm vaccine Covid-19, tuy nhiên, chị của bạn cần tiêm tại bệnh viện hoặc các cơ sở y tế có đủ năng lực hồi sức cấp cứu ban đầu. Cảm ơn câu hỏi của bạn. Trân trọng!
512|Xin hỏi, tôi cần làm thế nào để bảo vệ bản thân trước dịch nCov?|Bộ Y tế trả lời vấn đề này như sau:Để chủ động phòng chống bệnh viêm đường hô hấp cấp do vi rút Corona nCoV, Bộ Y tế khuyến cáo người dân và cộng đồng thực hiện tốt các biện pháp sau:1. Người dân chủ động thực hiện các biện pháp phòng bệnh- Hạn chế tiếp xúc trực tiếp với người bị bệnh đường hô hấp cấp tính (sốt, ho, khó thở); khi cần thiết phải đeo khẩu trang y tế đúng cách và giữ khoảng cách trên 02 mét khi tiếp xúc.- Người có các triệu chứng sốt, ho, khó thở không nên đi du lịch hoặc đến nơi tập trung đông người. Thông báo ngay cho cơ quan y tế khi có các triệu chứng kể trên.- Rửa tay thường xuyên với xà phòng và nước sạch trong ít nhất 30 giây. Trong trường hợp không có xà phòng và nước sạch thì dùng các sản phẩm vệ sinh tay có chứa cồn (ít nhất 60% cồn); súc miệng, họng bằng nước muối hoặc nước xúc miệng, tránh đưa tay lên mắt, mũi, miệng để phòng lây nhiễm bệnh.- Cần che miệng và mũi khi ho hoặc hắt hơi, tốt nhất bằng khăn vải hoặc khăn tay, hoặc ống tay áo để làm giảm phát tán các dịch tiết đường hô hấp. Không khạc nhổ bừa bãi nơi công cộng.- Chỉ sử dụng các thực phẩm đã được nấu chín.- Không đi du lịch đến các vùng có dịch bệnh. Hạn chế đi đến các nơi tập trung đông người. Trong trường hợp đi đến các nơi tập trung đông người cần thực hiện các biện pháp bảo vệ cá nhân như sử dụng khẩu trang, rủa tay với xà phòng…- Tránh mua bán, tiếp xúc với các loại động vật nuôi hoặc hoang dã.- Giữ ấm cơ thể, tăng cường sức khỏe bằng ăn uống, nghỉ ngơi, sinh hoạt hợp lý, luyện tập thể thao.- Tăng cường thông khí khu vực nhà ở bằng cách mở các cửa ra vào và cửa sổ, hạn chế sử dụng điều hòa. Thường xuyên lau nền nhà, tay nắm cửa và bề mặt các đồ vật trong nhà bằng các chất tẩy rửa thông thường, như xà phòng và các dung dịch khử khuẩn thông thường khác.- Nếu có dấu hiệu sốt, ho, khó thở phải đeo khẩu trang bảo vệ, thông báo ngay cho cơ sở y tế gần nhất để được tư vấn, khám, điều trị kịp thời. Gọi điện cho cơ sở y tế trước khi đến để thông tin về các triệu chứng và lịch trình đã di chuyển trong thời gian gần đây để có biện pháp hỗ trợ đúng.2. Những người từ Trung Quốc trở về- Những người từ Trung Quốc trở về Việt Nam cần tự cách ly tại nhà và theo dõi sức khỏe trong vòng 14 ngày. Cần khai báo với cơ quan y tế sở tại nơi gần nhất để được hỗ trợ khi cần thiết.- Nếu có dấu hiệu sốt, ho, khó thở phải đeo khẩu trang bảo vệ, thông báo ngay đến cơ sở y tế gần nhất để được tư vấn, khám, điều trị kịp thời. Gọi điện cho cơ sở y tế trước khi đến để thông tin về các triệu chứng và lịch trình đã di chuyển trong thời gian gần đây để có biện pháp hỗ trợ đúng.3. Những người đi đến Trung Quốc- Nếu không có việc cần thiết hoặc công việc đột xuất, không nên đến Trung Quốc trong thời gian xảy ra dịch bệnh viêm đường hô hấp cấp do vi rút corona nCoV.- Trường hợp bắt buộc, phải hạn chế ra khỏi nhà, thường xuyên áp dụng các biện pháp phòng bệnh theo khuyến cáo của Bộ Y tế.- Nếu có dấu hiệu sốt, ho, khó thở phải đeo khẩu trang, thông báo ngay đến cơ sở y tế gần nhất để được tư vấn, khám, điều trị kịp thời. Gọi điện cho cơ sở y tế trước khi đến để thông tin về các triệu chứng và lịch trình đã di chuyển trong thời gian gần đây để có biện pháp hỗ trợ đúng.
1575|Thưa bác sĩ, tôi bị dị ứng thuốc kháng sinh nhóm cofroloxacin thì toi có tiêm được vaccine ngừa Covid 19 không?| Chào chị, Theo chị chia sẻ, chị có bị dị ứng kháng sinh nhóm cofroloxacin, chúng tôi không biết mức độ dị ứng có phải nhập viện cấp cứu hay chỉ bị nổi mẩn trên da rồi tự hết. Có 2 trường hợp để chị biết mình có thể tiêm được vaccine Covid-19 hay không gồm: - Nếu trường hợp chị dị ứng kháng sinh mà có khó thở, có tím tái phải nhập viện thì trường hợp này chống chỉ định tiêm vaccine Covid-19 theo hướng dẫn của Bộ Y tế. - Nếu chị chỉ bị nổi mẩn đỏ ít trên da, không cần điều trị, tự hết thì vẫn có thể tiêm vaccine Covid-19, tuy nhiên chị cần tiêm tại bệnh viện hoặc các cơ sở y tế có đủ năng lực hồi sức cấp cứu ban đầu. Cảm ơn câu hỏi của chị, nếu còn thêm bất kỳ thắc mắc nào, chị có thể gọi đến hotline 028 7300 6595 hoặc inbox cho fanpage trungtamtiemchungvnvc. Trân trọng!
4449|Trẻ sơ sinh nhiễm COVID-19 có nguy cơ gì?|"- Khoảng từ 1,6 - 2% trẻ sơ sinh dương tính với SARS-CoV-2 (thời điểm
XN ≤ 3 ngày sau đẻ) từ bà mẹ nhiễm SARS-CoV-2 hầu hết trẻ không triệu chứng
hoặc triệu chứng nhẹ; tuy nhiên trẻ có thể biểu hiện nặng với nhiễm trùng huyết,
viêm phổi hay tổn thương cơ quan (hội chứng viêm đa hệ thống, MIS-N) như trẻ
em. Trẻ sơ sinh nhiễm SARS-CoV-2 tiên lượng tốt, tử vong rất thấp. "
1680|Tôi bị cao huyết áp, uống thuốc hàng ngày, có tiêm AstraZenca được không?| Chào anh/chị, Bệnh cao HA nếu ổn định, không phải nhập viện hay tăng liều điều trị trong vòng 3 tháng và tại thời điểm khám sàng lọc chỉ số HA trong giới hạn cho phép thì anh/chị có thể tiêm chủng vaccine vaccine Covid-19 được. Trân trọng!
4274|Người đang điều trị ARV có được tiêm vắc xin ngừa Covid-19 không?|Không có tương tác thuốc giữa vắc-xin Covid-19 (AZ, Pfizer, Moderna, Johnson&Johnson) với thuốc điều trị ARV. Không được dừng hay ngưng điều trị ARV khi tiêm vắc xin COVID-19
915|NHỮNG RỦI RO CỦA VI RÚT CORONA (COVID-19) ĐỐI VỚI NGƯỜI BỊ BỆNH VIÊM GAN B HOẶC C LÀ GÌ?|"Hiện tại, chưa có bằng chứng nào cho thấy những người khỏe mạnh và sống với bệnh viêm gan B hoặc C có nguy cơ bị nhiễm COVID - 19 cao hơn. Tuy nhiên, nếu bạn đang sống với bệnh viêm gan B hoặc C và có một số bệnh khác như huyết áp cao, tiểu đường hoặc bệnh gan tiến triển (xơ gan) thì tình trạng bệnh tình của bạn có nguy cơ trở nên nghiêm trọng hơn nếu mắc COVID - 19. Sau đây là những đối tượng mà tình trạng bệnh của họ có nguy cơ cao bị nặng hơn nếu nhiễm COVID -19:
• Người cao tuổi (trên 70 tuổi)
• Người có hệ miễn dịch yếu
• Những người từ nền văn hóa thổ dân và dân đảo Torres Strait
• Những người mắc bệnh mãn tính"
2076|Thưa chuyên gia, theo em biết, khuyến cáo của Bộ Y tế Việt Nam, người trên 65 tuổi là đối tượng trì hoãn tiêm chủng. Nhưng các nước Châu Âu, Mỹ lại ưu tiên tiêm phòng Covid-19 cho người cao tuổi vì đây là nhóm người có nguy cơ biến chứng nguy hiểm và tử vong cao hơn người trẻ. Lý do của sự khác biệt về chính sách này là gì? Nếu người trên 65 tuổi có nguyện vọng tiêm phòng Covid-19 thì có được tiêm không? Xin bác sĩ cho biết về nguy cơ khi tiêm phòng Covid-19 cho người trên 65 tuổi? Cảm ơn các chuyên gia.| Chào chị, Người trên 65 tuổi hiện nay vẫn có thể tiêm chủng, nhưng thuộc nhóm thận trọng và cần được tiêm tại bệnh viện hoặc cơ sở đủ năng lực hồi sức cấp cứu ban đầu. Cảm ơn câu hỏi của chị. Trân trọng!
3579|Tôi năm nay 47 tuổi mắc bệnh viêm gan B, gan nhiễm mỡ và máu nhiễm mỡ có tiêm được vaccine Covid-19 không thưa bác sĩ?| Chào anh/chị,  Các bệnh lý của anh/chị không được xếp vào trường hợp chống chỉ định tiêm vaccine Covid-19 của Astrazeneca. Tại thời điểm tiêm chủng, bác sĩ sẽ khám sàng lọc cũng như đánh giá tình trạng sức khoẻ của anh/chị để có cơ sở chỉ định tiêm chủng. Anh/chị nên khai báo với bác sĩ tiền sử bệnh lý, các dị ứng, mẫn cảm nếu có để được chỉ định tiêm chủng vaccine chính xác.  Cảm ơn câu hỏi của anh/chị, chúc anh/chị sức khỏe. Trân trọng!
1595|Em bị cường giáp năm 2014 và đã được ngưng thuốc 3 năm. Tình trạng của em có chích vaccine Covid-19 được không bác sĩ? Cảm ơn bác sĩ ạ.|" Chào bạn,
Theo hướng dẫn của Bộ Y tế, người có bệnh nền nếu đã được điều trị ổn định/đã khỏi vẫn có thể tiêm ngừa vaccine phòng bệnh Covid-19. Trường hợp bệnh cường giáp của bạn, nếu đã điều trị ổn định, bệnh đã được kiểm soát thì bạn vẫn được tiêm chủng vaccine Covid-19.  Khi đi tiêm ngừa, bác sĩ khám sàng lọc sẽ thăm khám đánh giá tình trạng sức khỏe hiện tại của bạn trước khi chỉ định tiêm. Điều quan trọng là bạn nên tuân thủ theo đúng hướng dẫn của bác sĩ về theo dõi các phản ứng sau tiêm chủng để kịp thời xử trí khi có dấu hiệu bất thường xảy ra.
Cảm ơn câu hỏi của bạn. Trân trọng!"
129|Tôi không có chính sách nghỉ bệnh có trả lương cho nhân viên của mình. Tôi nên làm gì?|"Các chủ lao động hiện không có chế độ nghỉ phép cho một số hoặc tất cả nhân viên của họ có thể nên soạn các chính sách ""nghỉ ốm khẩn cấp"" mà không bị phạt. Đảm bảo các chính sách nghỉ ốm linh hoạt và thống nhất với hướng dẫn y tế công cộng và nhân viên biết và hiểu rõ các chính sách này.Đạo Luật về Sự Ứng Phó Đầu Tiên với Vi-rút Corona dành cho Gia Đình (FFCRA hoặc Đạo Luật) yêu cầu một số hãng sở nhất định phải cho phép nhân viên nghỉ bệnh có lương hoặc nghỉ vì lý do sức khỏe và những người thân trong gia đình với lý do được nêu là có liên quan đến COVID-19. Hãng sở có dưới 500 nhân viên đủ điều kiện nhận được giảm thuế 100% cho thời gian nghỉ có lương liên quan đến COVID-19 theo Đạo Luật Ứng Phó Đầu Tiên với Vi-rút Corona dành cho Gia Đình đến ngày 31 tháng 12 năm 2020 với các hạn mức nhất định."
825|Những biện pháp nào giúp tăng cường sức đề kháng chống lại COVID-19?|"Các nghiên cứu cho thấy người có sức đề kháng suy yếu khi bị nhiễm Covid-19 thường có diễn biến nặng và nguy kịch hơn, ở hai khía cạnh, thứ nhất là bản thân bệnh nghiêm trọng và thứ 2 là ngoài bị nhiễm Covid-19, khi người bệnh có bệnh nền thì có thể bội nhiễm thêm nhiều bệnh khác như nấm, vi khuẩn…

Vì vậy, bên cạnh thực hiện chế độ dinh dưỡng đầy đủ, hợp lý và khoa học, mỗi người cần xây dựng cho bản thân và gia đình cuộc sống lành mạnh, vui khỏe, sống khỏe để tạo nên bộ “áo giáp hoàn hảo” để chủ động phòng chống lại dịch bệnh. Dưới đây là những gợi ý hữu ích cho bạn:

Uống nhiều nước;
Ăn chín uống sôi;
Tập thể dục;
Sống lành mạnh.
Thực phẩm tăng cường sức đề kháng đang trở thành ưu tiên hàng đầu trong bối cảnh “đại dịch toàn cầu” Covid-19 chưa có hồi kết. Do đó, cần chú trọng chăm sóc sức khỏe, nâng cao thể trạng, giữ tinh thần thoải mái, tăng cường hệ miễn dịch, kiểm soát tốt các bệnh lý nền nhằm phòng ngừa virus Sars-Cov-2."
1746|Tôi bị dị ứng khi ăn con nhộng tằm có tiêm vaccine Covid-19 được không? Cảm ơn bác sĩ!|" Theo như báo cáo của Mỹ, những người có cơ địa dị ứng, tức là những người mắc các bệnh dị ứng như hen phế quản, viêm mũi dị ứng, viêm da cơ địa, dị ứng thuốc, dị ứng vaccine, sốc phản vệ, dị ứng thức ăn, dị ứng latex, dị ứng nọc côn trùng… là những người dễ dị ứng/phản vệ với vaccine hơn so với những người khác. Tuy nhiên, bất kỳ ai cũng có thể bị phản vệ sau tiêm vaccine dù không có tiền sử dị ứng.
Trong trường hợp của anh/chị nên được tiêm vaccine Covid-19 ở khối bệnh viện hoặc cơ sở y tế có đủ năng lực hồi sức cấp cứu ban đầu.
Để giảm thiểu rủi ro do phản vệ, điều quan trọng là cần chú ý theo dõi, phát hiện và xử trí sớm phản vệ ngay ở những triệu chứng phản vệ như: Nổi mề đay, phù niêm, tím tái, khó thở, tức ngực, thở rít, đau quặn bụng, tiêu chảy hoặc nôn/buồn nôn, tụt huyết áp hoặc ngất, rối loạn ý thức,... sau tiêm vaccine Covid- 19. Người được tiêm cần phải theo dõi tại cơ sở y tế ít nhất 30 phút và tiếp tục theo dõi tại nhà ít nhất 7 ngày, nếu có các dấu hiệu phản vệ như trên anh/chị cần đến ngay cơ sở y tế gần nhất được xử trí điều trị kịp thời."
535|Khi nào tôi cần phải xét nghiệm khả năng nhiễm 2019-nCoV?|Có triệu chứng viêm hô hấp cấp (đột ngột bị sốt, ho, viêm họng, hoặc khó thở) Và đồng thời trong vòng 14 ngày trước khi có các triệu chứng trên bạn đã tới Trung Quốc, HOẶC có tiếp xúc gần với người nghi nhiễm 2019-nCoV đang chờ kết quả xét nghiệm hoặc người đã xác nhận bị nhiễm.
1697|Em bị dị ứng với thành phần trong thuốc giảm đau, sau khi uống mắt bị sưng phù đã bị 2 lần. Em có tiêm vaccine Covid-19 của AstraZeneca được không ạ? Nếu được xin cho biết phải tiêm loại vaccine nào phù hợp? Xin cảm ơn!|"   Chào anh,  Theo những thông tin mà anh mô tả, anh vẫn có thể tiêm ngừa vaccine Covid-19 Astrazeneca, tuy nhiên cần tiêm chủng tại khối bệnh viện hoặc các cơ sở y tế có đủ năng lực hồi sức cấp cứu ban đầu.
Cảm ơn câu hỏi của anh. Trân trọng!"
605|Bể bơi có lây truyền virus không?|Trong quá trình nghiên cứu dịch tễ, chúng tôi tìm kiếm và phỏng vấn những người nhiễm bệnh và những người không nhiễm bệnh để tìm kiếm về lịch sử du lịch, nghề nghiệp, tiếp xúc trong vòng 14 ngày trước đó.... Trong những sự phơi nhiễm mà chúng tôi đang điều tra, thì bể bơi không phải là một trong những số đó.
4192|Nếu tôi bị bệnh do COVID-19, tôi có thể lây vi rút cho thú vật của mình không?|"Chúng tôi vẫn đang tìm hiểu về loại vi rút này, nhưng có vẻ như nó có thể lây lan từ người sang động vật trong một số trường hợp. Nếu bạn bị bệnh hoặc nghĩ rằng bạn bị bệnh do COVID-19, Trung Tâm Kiểm Soát Dịch Bệnh (CDC) khuyến cáo bạn nên hạn chế tiếp xúc với động vật cho đến khi biết thêm thông tin về loại coronavirus mới.
Điều này có nghĩa là bạn nên tránh tiếp xúc với thú nuôi của mình, bao gồm vuốt ve, ôm nựng, để cho hôn hoặc liếm, và chia sẻ thức ăn hoặc nằm chung giường. Nếu có thể, hãy nhờ một thành viên khác trong gia đình chăm sóc thú cưng của bạn trong khi bạn bị ốm. Nếu bạn phải chăm sóc thú cưng của mình hoặc ở gần động vật khi bạn bị bệnh, hãy rửa tay trước và sau khi bạn tiếp xúc với thú cưng, và đeo một miếng vải che trên mặt của bạn."
1433|Thưa bác sĩ, tôi bị ngứa da 5, 6 năm nay, tự hết rồi lại bị, hiện tại chủ yếu ngứa ở vùng da đầu và cũng không nhiều như trước, tôi đang uống thuốc huyết áp, bị trĩ, ù tai (giống tiếng u i như tiếng giun buổi đêm yên tĩnh ở vùng quê).Vậy tôi có nằm trong nhóm chống chỉ định không, xin cảm ơn bác sỹ! | Chào bạn,  Theo hướng dẫn của Bộ Y tế, bạn không nằm trong nhóm chổng định tiêm chủng vaccine Covid-19, tuy nhiên tại thời điểm tiêm chủng, bác sĩ khám sàng lọc sẽ chỉ định tiêm chủng khi sức khỏe của bạn hoàn toàn ổn định. Trước đó, để đảm bảo đủ điều kiện tiêm chủng vaccine Covid-19, bạn nên đến thăm khám bác sĩ chuyên khoa tai mũi họng để được kiểm tra tình trạng tai của bạn trược khi đi tiêm chủng. Chúc bạn sức khỏe. Trân trọng!
3374|Tôi bị huyết áp cao (140/90), xơ vữa động mạch cảnh 2 bên (35-40%), hay bị choáng (tiền đình). Vậy tôi có thể tiêm vaccine Covid-19 được không? Nếu được thì tôi cần phải lưu ý những gì? |" Chào anh, 
Nếu các bệnh lý mãn tính đã ổn định trong vòng 3 tháng trước khi tiêm chủng (có nghĩa là bệnh không cần thay đổi điều trị đáng kể hoặc nhập viện vì bệnh lý nặng hơn), các chỉ số xét nghiệm duy trì ở mức độ ổn, anh hoàn toàn có thể tiêm được vaccine phòng Covid-19.
Cảm ơn câu hỏi của anh. Chúc anh sức khỏe!"
94|Tôi có thể tiêm ngừa COVID-19 khi tôi hiện đang bị bệnh vì COVID-19 không?|"Không. Những người nhiễm COVID-19 có các triệu chứng nên chờ được tiêm chủng cho đến khi họ khỏi bệnh và đáp ứng các tiêu chí để ngừng cô lập; những người không có các triệu chứng cũng nên chờ cho đến khi họ đáp ứng các tiêu chí trước khi được tiêm chủng. Hướng dẫn này cũng áp dụng với những người nhiễm COVID-19 trước khi tiêm liều vắc-xin thứ hai.Trang liên quan:
Thời điểm cần cách ly
Kết Thúc Cô Lập Tại Nhà"
3585|Tôi bị viêm da cơ địa tổ đỉa ở hai bàn chân, bị nhiều năm nay và có bôi nhiều thuốc kháng viêm có chứa corticoid. Đến nay tôi chưa dị ứng với bất kỳ loại thuốc hay thức ăn nào khác. Bác sĩ cho tôi hỏi tôi có thuộc đối tượng cần cẩn trọng khi tiêm vaccine Covid-19 hay không? Xin cảm ơn.| Chào anh/chị,  Với bệnh viêm da cơ địa tổ đỉa, anh/chị có thể được tiêm chủng vaccine Covid-19 ở các cơ sở tiêm chủng bình thường. Cũng giống những người tiêm chủng khác, sau khi tiêm, anh/chị cần phải theo dõi sức khỏe tại cơ sở tiêm chủng ít nhất 30 phút và tiếp tục theo dõi tại nhà ít nhất 7 ngày, nếu có bất kỳ triệu chứng của phản vệ như tím tái, khó thở, đau quặn bụng, tiêu chảy, nôn/buồn nôn... Anh/chị cần thông báo cho nhân viên y tế hoặc đến cơ sở y tế gần nhất để được xử trí kịp thời.  Chúc anh/chị sức khỏe. Trân trọng!
419|Tôi sinh sống tại nước Lào và đang muốn về nước. Vậy, những trường hợp như tôi khi về nước có được hỗ trợ chi phí cách ly tập trung hay không?|Chính phủ đã ban hành Nghị quyết số 48/NQ-CP ngày 6/5/2021 về phiên họp Chính phủ thường kỳ tháng 4/2021, trong đó có nội dung:“Đồng ý công dân Việt Nam từ các nước láng giềng về nước bằng đường bộ khi thực hiện biện pháp cách ly y tế tập trung theo yêu cầu phòng, chống dịch thì được ngân sách Nhà nước hỗ trợ chi phí cách ly y tế, bao gồm chi phí: Đưa đón từ cơ sở, địa điểm phát hiện đến cơ sở cách ly y tế tập trung; xét nghiệm sàng lọc SARS-CoV-2; một số quyền lợi khác tại các cơ sở cách ly bắt buộc”.Nghị quyết của Chính phủ ký ngày 6/5/2021 có hiệu lực kể từ ngày ký. Bộ Y tế thông báo để bà Lợi được biết.
